variable,n,adf_stat,p_value,usedlag,crit_1%,crit_5%,crit_10%,icbest,regression,is_stationary@0.05
A,79987,-27.588290612856152,0.0,12,-3.430431757158932,-2.861576135283732,-2.566789233564432,127126.74041127235,c,True
B,79987,-39.55706612754537,0.0,12,-3.430431757158932,-2.861576135283732,-2.566789233564432,170722.13040053338,c,True
C,79987,-79.68126542661524,0.0,12,-3.430431757158932,-2.861576135283732,-2.566789233564432,228595.5792838608,c,True
D,79987,-43.01783024215482,0.0,12,-3.430431757158932,-2.861576135283732,-2.566789233564432,177764.85030479595,c,True
F,79987,-42.14824928045039,0.0,12,-3.430431757158932,-2.861576135283732,-2.566789233564432,179108.6113787468,c,True
E,79988,-84.09574087207992,0.0,11,-3.4304317561367816,-2.861576134831965,-2.566789233323971,232600.80891949512,c,True
G,79988,-82.2299557966628,0.0,11,-3.4304317561367816,-2.861576134831965,-2.566789233323971,232676.71613509854,c,True
H,79992,-101.80836066715386,0.0,7,-3.4304317520484346,-2.8615761330250096,-2.5667892323621864,233323.54229476102,c,True
L,79987,-37.64287328357535,0.0,12,-3.430431757158932,-2.861576135283732,-2.566789233564432,160533.87025219187,c,True
I,79988,-44.68603007258641,0.0,11,-3.4304317561367816,-2.861576134831965,-2.566789233323971,173863.4868680879,c,True
J,79992,-101.1334818220168,0.0,7,-3.4304317520484346,-2.8615761330250096,-2.5667892323621864,229321.97472681347,c,True
K,79987,-42.089774559305866,0.0,12,-3.430431757158932,-2.861576135283732,-2.566789233564432,160521.26647957115,c,True
N,79987,-79.23887976480536,0.0,12,-3.430431757158932,-2.861576135283732,-2.566789233564432,230931.8190462751,c,True
M,79991,-97.70758364595086,0.0,8,-3.430431753070483,-2.8615761334767313,-2.5667892326026234,228927.90104148374,c,True
Y1,79991,-93.28155361531496,0.0,8,-3.430431753070483,-2.8615761334767313,-2.5667892326026234,222217.54470288326,c,True
Y2,79987,-47.17639936746849,0.0,12,-3.430431757158932,-2.861576135283732,-2.566789233564432,163878.34027026666,c,True
time,79999,-1.3346225481046863,0.6131874221462528,0,-3.4304317448948116,-2.8615761298632725,-2.566789230679295,-418560.0759460665,c,False
